record_id,city,area_type,road_type,vehicle_count,avg_speed_kmph,congestion_level,accidents_reported,weather,year,month,day,hour
1,4,1,2,1.4247856954923166,-1.5366221010355081,2,-0.5607196858088442,1,2025,1,1,0
2,3,0,0,0.5466105552599194,-0.7152504412987601,0,-0.5607196858088442,2,2025,1,1,1
3,2,1,2,0.0508665244835661,1.0139530528838672,2,-0.5607196858088442,3,2025,1,1,2
4,3,1,0,-0.6006827731082125,0.7978026161110388,0,1.2341576695331669,1,2025,1,1,3
5,3,0,2,0.6652350197671182,-0.11002921833484063,2,-0.5607196858088442,2,2025,1,1,4
6,0,2,2,-1.2168217827873944,-0.32617965510766905,0,-0.5607196858088442,2,2025,1,1,5
7,2,2,1,0.9131070351552949,-1.3204716642626797,2,-0.5607196858088442,2,2025,1,1,6
8,2,2,0,1.5398691312082557,-0.15325930568940632,1,-0.5607196858088442,3,2025,1,1,7
9,2,2,0,1.0264199564756042,-1.277241576908114,2,1.2341576695331669,0,2025,1,1,8
10,3,0,0,1.049436643618792,-0.7152504412987601,1,-0.5607196858088442,2,2025,1,1,9
11,4,0,0,0.5324464400948807,1.316563664365827,1,-0.5607196858088442,2,2025,1,1,10
12,2,0,2,1.0228789276843446,-0.8449407033624572,1,1.2341576695331669,2,2025,1,1,11
13,3,1,1,1.1184867050483556,-0.8881707907170229,3,-0.5607196858088442,3,2025,1,1,12
14,0,0,1,-1.4558412261974218,-1.3204716642626797,2,-0.5607196858088442,1,2025,1,1,13
15,4,2,3,-1.190264066852947,0.2790415678562505,3,1.2341576695331669,3,2025,1,1,14
16,0,1,0,-1.7479761014763444,0.2790415678562505,3,1.2341576695331669,2,2025,1,1,15
17,4,2,3,0.0561780676704556,-1.1043212274898513,2,-0.5607196858088442,0,2025,1,1,16
18,3,2,2,1.410621580327278,0.14935130579255346,1,-0.5607196858088442,2,2025,1,1,17
19,1,0,3,0.5253643825123614,0.9274928781747357,3,-0.5607196858088442,1,2025,1,1,18
20,4,0,0,-1.6382042089472948,-1.4933920136809424,3,-0.5607196858088442,0,2025,1,1,19
21,0,2,1,-0.8945881627827649,1.1004132275929985,0,-0.5607196858088442,0,2025,1,1,20
22,3,2,1,1.2601278566987422,1.5327141011386554,2,-0.5607196858088442,3,2025,1,1,21
23,4,1,0,0.6315952462501514,-1.5798521883900738,3,-0.5607196858088442,3,2025,1,1,22
24,1,0,2,1.5611153039558139,-0.7584805286533258,2,-0.5607196858088442,1,2025,1,1,23
25,1,1,0,0.4191335187745714,-1.1907814021989827,2,-0.5607196858088442,3,2025,1,2,0
26,2,1,2,-1.3566924200421513,-0.4126398298168004,3,-0.5607196858088442,1,2025,1,2,1
27,2,1,1,-1.4806284277362396,-1.0610911401352856,2,-0.5607196858088442,0,2025,1,2,2
